Frame 16,25.103,24.902,24.7,24.498,24.333,24.206,24.067,23.863,23.762,23.647,23.596,23.545,23.481,23.404,23.353,23.315,23.302,23.289,23.289,23.251,23.225,23.212,23.238,23.264,23.289,23.302,23.34,23.366,23.379,23.392,23.392,23.404,23.417,23.455,23.494,23.507,23.507,23.519,23.545,23.57,23.596,23.609,23.621,23.621,23.647,23.647,23.672,23.698,23.711,23.723,23.736,23.749,23.749,23.749,23.762,23.774,23.774,23.787,23.787,23.8,23.787,23.787,23.787,23.787,23.787,23.8,23.812,23.812,23.812,23.825,23.812,23.8,23.774,23.749,23.736,23.749
Frame 17,25.103,24.915,24.738,24.536,24.384,24.219,24.079,23.902,23.787,23.672,23.621,23.558,23.507,23.43,23.379,23.34,23.34,23.328,23.328,23.289,23.276,23.276,23.289,23.302,23.328,23.328,23.366,23.392,23.417,23.43,23.43,23.43,23.468,23.494,23.519,23.532,23.519,23.532,23.57,23.583,23.609,23.634,23.634,23.647,23.647,23.66,23.685,23.711,23.736,23.749,23.749,23.749,23.749,23.749,23.762,23.787,23.787,23.787,23.8,23.787,23.774,23.774,23.787,23.8,23.812,23.825,23.825,23.851,23.851,23.851,23.838,23.812,23.8,23.787,23.774,23.774
Frame 18,25.204,25.028,24.801,24.612,24.447,24.308,24.168,23.978,23.863,23.749,23.685,23.634,23.558,23.507,23.455,23.417,23.404,23.379,23.366,23.34,23.34,23.315,23.315,23.34,23.366,23.392,23.404,23.43,23.43,23.443,23.443,23.455,23.481,23.507,23.545,23.545,23.545,23.558,23.583,23.609,23.634,23.647,23.66,23.685,23.698,23.711,23.736,23.762,23.762,23.762,23.774,23.787,23.8,23.812,23.838,23.851,23.851,23.851,23.851,23.851,23.851,23.851,23.863,23.876,23.889,23.889,23.889,23.889,23.902,23.902,23.902,23.889,23.889,23.889,23.863,23.863
Frame 19,25.242,25.041,24.826,24.624,24.435,24.283,24.13,23.94,23.838,23.723,23.672,23.621,23.558,23.507,23.455,23.417,23.392,23.379,23.366,23.328,23.315,23.302,23.302,23.328,23.353,23.353,23.379,23.404,23.417,23.43,23.43,23.43,23.443,23.481,23.519,23.519,23.519,23.519,23.545,23.57,23.596,23.634,23.647,23.66,23.672,23.698,23.711,23.736,23.749,23.762,23.749,23.762,23.762,23.774,23.8,23.825,23.825,23.825,23.825,23.838,23.838,23.838,23.838,23.838,23.851,23.851,23.851,23.863,23.876,23.889,23.889,23.876,23.863,23.851,23.838,23.825
Frame 20,25.242,25.066,24.877,24.624,24.435,24.244,24.105,23.927,23.812,23.711,23.66,23.609,23.545,23.494,23.43,23.392,23.379,23.366,23.328,23.289,23.289,23.276,23.276,23.289,23.328,23.34,23.353,23.379,23.379,23.379,23.379,23.379,23.417,23.443,23.494,23.494,23.494,23.507,23.532,23.558,23.596,23.609,23.621,23.621,23.647,23.66,23.685,23.711,23.723,23.723,23.723,23.723,23.736,23.736,23.762,23.787,23.787,23.8,23.812,23.825,23.838,23.825,23.838,23.825,23.812,23.812,23.812,23.825,23.838,23.851,23.851,23.838,23.812,23.812,23.8,23.8
Frame 21,25.229,25.041,24.839,24.612,24.435,24.257,24.118,23.914,23.812,23.711,23.66,23.596,23.545,23.481,23.417,23.366,23.366,23.34,23.315,23.276,23.251,23.251,23.251,23.264,23.289,23.289,23.315,23.328,23.34,23.34,23.353,23.353,23.379,23.417,23.443,23.455,23.468,23.468,23.494,23.519,23.545,23.57,23.583,23.609,23.621,23.634,23.66,23.685,23.698,23.698,23.698,23.698,23.711,23.711,23.736,23.749,23.749,23.749,23.762,23.774,23.787,23.787,23.787,23.787,23.774,23.774,23.787,23.787,23.8,23.8,23.787,23.774,23.762,23.762,23.762,23.774
Frame 22,25.267,25.078,24.889,24.662,24.498,24.295,24.156,23.965,23.851,23.736,23.672,23.634,23.558,23.494,23.43,23.366,23.379,23.34,23.34,23.276,23.264,23.238,23.238,23.238,23.264,23.276,23.315,23.328,23.315,23.328,23.315,23.328,23.353,23.404,23.443,23.455,23.455,23.468,23.494,23.519,23.545,23.57,23.583,23.596,23.609,23.634,23.66,23.685,23.698,23.711,23.698,23.698,23.711,23.723,23.749,23.762,23.762,23.749,23.762,23.762,23.774,23.774,23.762,23.762,23.749,23.749,23.762,23.774,23.787,23.812,23.8,23.787,23.774,23.762,23.749,23.762
Frame 23,25.292,25.103,24.877,24.662,24.498,24.333,24.181,24.003,23.889,23.8,23.698,23.647,23.558,23.494,23.43,23.379,23.379,23.366,23.353,23.276,23.251,23.225,23.225,23.225,23.251,23.276,23.302,23.328,23.328,23.328,23.328,23.328,23.353,23.392,23.43,23.443,23.443,23.455,23.481,23.519,23.545,23.57,23.57,23.583,23.609,23.621,23.634,23.66,23.672,23.685,23.685,23.685,23.672,23.685,23.698,23.711,23.723,23.723,23.736,23.749,23.749,23.749,23.749,23.749,23.749,23.749,23.749,23.762,23.774,23.787,23.774,23.762,23.749,23.736,23.723,23.736
Frame 24,25.405,25.191,25.028,24.776,24.599,24.46,24.295,24.079,23.94,23.851,23.762,23.711,23.634,23.57,23.494,23.443,23.404,23.392,23.379,23.315,23.302,23.289,23.289,23.289,23.315,23.315,23.353,23.379,23.379,23.366,23.366,23.379,23.404,23.443,23.481,23.494,23.481,23.494,23.519,23.545,23.57,23.583,23.609,23.621,23.647,23.66,23.685,23.698,23.711,23.711,23.711,23.711,23.711,23.711,23.723,23.749,23.762,23.787,23.787,23.787,23.774,23.787,23.787,23.787,23.8,23.8,23.812,23.812,23.812,23.825,23.838,23.825,23.8,23.787,23.762,23.762
Frame 25,25.468,25.242,25.053,24.814,24.599,24.447,24.295,24.092,23.978,23.863,23.787,23.736,23.672,23.596,23.519,23.455,23.455,23.43,23.404,23.353,23.328,23.302,23.315,23.315,23.328,23.328,23.366,23.379,23.392,23.392,23.392,23.392,23.43,23.481,23.519,23.532,23.519,23.519,23.532,23.558,23.583,23.596,23.621,23.647,23.672,23.698,23.711,23.723,23.723,23.736,23.736,23.749,23.762,23.762,23.774,23.787,23.812,23.825,23.825,23.838,23.825,23.825,23.825,23.812,23.812,23.825,23.825,23.851,23.863,23.876,23.863,23.851,23.825,23.812,23.8,23.787
